target,pass_fail,target_size,target_unique,guess_string_count,dyn_calcs,auto_calcs
AB, PASS, 2, 2, 10, 40, 77
ABC, PASS, 3, 3, 10, 90, 185
ABCD, PASS, 4, 4, 10, 160, 348
ABCDE, PASS, 5, 5, 10, 190, 538
ABCDEF, PASS, 6, 6, 10, 252, 763
ABCDEFG, PASS, 7, 7, 10, 266, 1014
ABCDEFGH, PASS, 8, 8, 10, 328, 1297
ABCDEFGHI, PASS, 9, 9, 10, 297, 1615
ABCDEFGHIJ, PASS, 10, 10, 10, 370, 1964
ABCDEFGHIJK, PASS, 11, 11, 10, 374, 2347
ABA, PASS, 3, 2, 10, 90, 155
ABAB, PASS, 4, 2, 10, 160, 265
ABABA, PASS, 5, 2, 10, 250, 406
ABABAB, PASS, 6, 2, 10, 360, 580
ABABABA, PASS, 7, 2, 10, 483, 780
ABABABAB, PASS, 8, 2, 10, 600, 1004
ABABABABA, PASS, 9, 2, 10, 720, 1254
ABABABABAB, PASS, 10, 2, 10, 930, 1546
ABABABABABA, PASS, 11, 2, 10, 957, 1834
AB, PASS, 2, 2, 100, 400, 257
ABC, PASS, 3, 3, 100, 900, 455
ABCD, PASS, 4, 4, 100, 1580, 706
ABCDE, PASS, 5, 5, 100, 2130, 935
ABCDEF, PASS, 6, 6, 100, 2532, 1136
ABCDEFG, PASS, 7, 7, 100, 2856, 1370
ABCDEFGH, PASS, 8, 8, 100, 3120, 1654
ABCDEFGHI, PASS, 9, 9, 100, 3456, 1959
ABCDEFGHIJ, PASS, 10, 10, 100, 3600, 2289
ABCDEFGHIJK, PASS, 11, 11, 100, 4026, 2676
ABA, PASS, 3, 2, 100, 900, 425
ABAB, PASS, 4, 2, 100, 1600, 625
ABABA, PASS, 5, 2, 100, 2500, 856
ABABAB, PASS, 6, 2, 100, 3570, 1104
ABABABA, PASS, 7, 2, 100, 4802, 1364
ABABABAB, PASS, 8, 2, 100, 6144, 1655
ABABABABA, PASS, 9, 2, 100, 7398, 1954
ABABABABAB, PASS, 10, 2, 100, 8690, 2258
ABABABABABA, PASS, 11, 2, 100, 9515, 2535
AB, PASS, 2, 2, 1000, 4000, 2057
ABC, PASS, 3, 3, 1000, 9000, 3155
ABCD, PASS, 4, 4, 1000, 15680, 4264
ABCDE, PASS, 5, 5, 1000, 21560, 4811
ABCDEF, PASS, 6, 6, 1000, 25398, 4983
ABCDEFG, PASS, 7, 7, 1000, 28070, 4982
ABCDEFGH, PASS, 8, 8, 1000, 30936, 5127
ABCDEFGHI, PASS, 9, 9, 1000, 33732, 5352
ABCDEFGHIJ, PASS, 10, 10, 1000, 37300, 5639
ABCDEFGHIJK, PASS, 11, 11, 1000, 39567, 5885
ABA, PASS, 3, 2, 1000, 9000, 3125
ABAB, PASS, 4, 2, 1000, 16000, 4225
ABABA, PASS, 5, 2, 1000, 25000, 5356
ABABAB, PASS, 6, 2, 1000, 35796, 6388
ABABABA, PASS, 7, 2, 1000, 47894, 7326
ABABABAB, PASS, 8, 2, 1000, 60056, 7999
ABABABABA, PASS, 9, 2, 1000, 72756, 8666
ABABABABAB, PASS, 10, 2, 1000, 84000, 9075
ABABABABABA, PASS, 11, 2, 1000, 94633, 9512
AB, PASS, 2, 2, 10000, 40000, 20057
ABC, PASS, 3, 3, 10000, 90000, 30155
ABCD, PASS, 4, 4, 10000, 157152, 39971
ABCDE, PASS, 5, 5, 10000, 215165, 43812
ABCDEF, PASS, 6, 6, 10000, 251754, 42615
ABCDEFG, PASS, 7, 7, 10000, 281624, 41319
ABCDEFGH, PASS, 8, 8, 10000, 309760, 39898
ABCDEFGHI, PASS, 9, 9, 10000, 338418, 39265
ABCDEFGHIJ, PASS, 10, 10, 10000, 367590, 38742
ABCDEFGHIJK, PASS, 11, 11, 10000, 396891, 38459
ABA, PASS, 3, 2, 10000, 90000, 30125
ABAB, PASS, 4, 2, 10000, 160000, 40225
ABABA, PASS, 5, 2, 10000, 250000, 50356
ABABAB, PASS, 6, 2, 10000, 358218, 59256
ABABABA, PASS, 7, 2, 10000, 478058, 66461
ABABABAB, PASS, 8, 2, 10000, 600992, 71475
ABABABABA, PASS, 9, 2, 10000, 724365, 75594
ABABABABAB, PASS, 10, 2, 10000, 835840, 77606
ABABABABABA, PASS, 11, 2, 10000, 951786, 80088
AB, PASS, 2, 2, 100000, 400000, 200057
ABC, PASS, 3, 3, 100000, 900000, 300155
ABCD, PASS, 4, 4, 100000, 1573364, 397051
ABCDE, PASS, 5, 5, 100000, 2152935, 433147
ABCDEF, PASS, 6, 6, 100000, 2523894, 422020
ABCDEFG, PASS, 7, 7, 100000, 2815869, 403696
ABCDEFGH, PASS, 8, 8, 100000, 3102328, 389511
ABCDEFGHI, PASS, 9, 9, 100000, 3389427, 378370
ABCDEFGHIJ, PASS, 10, 10, 100000, 3675000, 369821
ABCDEFGHIJK, PASS, 11, 11, 100000, 3967480, 363439
ABA, PASS, 3, 2, 100000, 900000, 300125
ABAB, PASS, 4, 2, 100000, 1600000, 400225
ABABA, PASS, 5, 2, 100000, 2500000, 500356
ABABAB, PASS, 6, 2, 100000, 3581124, 588024
ABABABA, PASS, 7, 2, 100000, 4783709, 659151
ABABABAB, PASS, 8, 2, 100000, 6015656, 707467
ABABABABA, PASS, 9, 2, 100000, 7246719, 745144
ABABABABAB, PASS, 10, 2, 100000, 8370030, 763787
ABABABABABA, PASS, 11, 2, 100000, 9499644, 781457
,,,,,,